frz	GCM	RCP	SEP0	SEP1	SEP2	rSEP1	rSEP2
Z2	MIROC_ESM_CHEM_10km	rcp85	34.24243792	42.99774738	50.44367827	1.255685926	1.473133379
Z3	MIROC_ESM_CHEM_10km	rcp85	29.77641609	37.53982789	43.66865876	1.260723513	1.466551872
Z4	MIROC_ESM_CHEM_10km	rcp85	28.20675593	35.78124421	41.69629688	1.268534542	1.478237944
Z5	MIROC_ESM_CHEM_10km	rcp85	35.38411981	43.06857066	51.33398253	1.217172305	1.450763303
Z6	MIROC_ESM_CHEM_10km	rcp85	34.133066	41.28866812	49.9251243	1.209638423	1.462661582
Z7	MIROC_ESM_CHEM_10km	rcp85	28.99520727	35.73149029	42.65444787	1.232324017	1.471086151
Z8	MIROC_ESM_CHEM_10km	rcp85	32.7024425	40.25353133	47.17846689	1.230902901	1.442658813
Z9	MIROC_ESM_CHEM_10km	rcp85	29.38036382	35.94935757	42.24957774	1.223584493	1.438020918
Z10	MIROC_ESM_CHEM_10km	rcp85	26.93060415	33.652187	38.86638752	1.249589011	1.443205184
Z11	MIROC_ESM_CHEM_10km	rcp85	28.94924221	36.3957452	42.66320891	1.25722618	1.473724549
Z12	MIROC_ESM_CHEM_10km	rcp85	22.08810936	28.73918497	33.16383219	1.301115659	1.501433719
Z13	MIROC_ESM_CHEM_10km	rcp85	21.46082859	27.69718106	31.88949584	1.290592343	1.485939637

